mca12,ident3,se2,coded_ms,id3_ind,se2_ind,int_111,int_2,int_2_ind,F1_initial,F1_second,F1_fitted,B1_fitted,B2_fitted,F2_fitted,B3_fitted,B4_fitted,F1,B1,B2,F2,B3,B4,F1,F1,B1,B2,F2,B3,B4,Best_Model,se2_id3_ind Model,se3_ind,se3_ind+id3_ind,id3_ind_model,int_2_model,int_0_fitted,int_0_model
4,8,8,0,1,0,0,0,0,1.49,4.24,5.73,5.39,5.43,5.59,5.54,5.57,-1.73,-1.39,-1.43,-1.59,-1.54,-1.57,,,,,,,,-2.1,-1.59,0,-1.6,-1.22,-2.05,6.04,-2.04
5,7,7,0,0,1,0,0,0,1.96,3.71,5.67,5.82,5.95,6.54,6.47,6.68,-0.67,-0.82,-0.95,-1.54,-1.47,-1.68,,,,,,,,-1.1,-0.755,0,-1.72,-1.21,-1.05,6.04,-1.04
4,9,7,0,1,1,0,0,0,1.02,3.71,4.73,4.96,4.91,5.59,5.54,5.57,-0.73,-0.96,-0.91,-1.59,-1.54,-1.57,,,,,,,,-2.1,-0.645,0,-1.6,-1.22,-2.05,4.79,-0.79
7,5,7,0,0,1,0,0,0,2.9,3.71,6.61,6.68,6.99,6.54,6.47,6.68,0.39,0.32,0.01,0.46,0.53,0.32,,,,,,,,0.9,1.245,0,0.28,0.79,0.95,6.04,0.96
4,8,7,1,1,1,0,7,1,4.92,0,4.92,5.39,5.43,4.27,4.27,4.24,-0.92,-1.39,-1.43,-0.27,-0.27,-0.24,,,,,,,,-2.1,-0.645,0,-1.6,-1.22,-0.75,4.79,-0.79
9,6,9,1,0,0,0,9,0,6.84,0,6.84,6.25,6.47,6.54,6.47,6.68,2.16,2.75,2.53,2.46,2.53,2.32,,,,,,,,2.9,2.3,1,3.47,2.79,2.95,6.04,2.96
6,7,7,1,0,1,0,7,1,5.39,0,5.39,5.82,5.95,5.22,5.2,5.35,0.61,0.18,0.05,0.78,0.8,0.65,,,,,,,,-0.1,0.245,0,-0.72,-0.21,1.25,6.04,-0.04
6,6,6,0,0,1,0,0,0,2.43,3.18,5.61,6.25,6.47,6.54,6.47,6.68,0.39,-0.25,-0.47,-0.54,-0.47,-0.68,,,,,,,,-0.1,0.245,0,-0.72,-0.21,-0.05,6.04,-0.04
4,9,7,0,1,1,0,0,0,1.02,3.71,4.73,4.96,4.91,5.59,5.54,5.57,-0.73,-0.96,-0.91,-1.59,-1.54,-1.57,,,,,,,,-2.1,-0.645,0,-1.6,-1.22,-2.05,4.79,-0.79
8,9,7,0,1,1,0,0,0,1.02,3.71,4.73,4.96,4.91,5.59,5.54,5.57,3.27,3.04,3.09,2.41,2.46,2.43,,,,,,,,1.9,3.355,0,2.4,2.78,1.95,4.79,3.21
5,9,9,1,1,0,0,9,0,5.43,0,5.43,4.96,4.91,5.59,5.54,5.57,-0.43,0.04,0.09,-0.59,-0.54,-0.57,,,,,,,,-1.1,-0.59,0,-0.6,-0.22,-1.05,6.04,-1.04
9,5,7,1,0,1,0,7,1,6.33,0,6.33,6.68,6.99,5.22,5.2,5.35,2.67,2.32,2.01,3.78,3.8,3.65,,,,,,,,2.9,3.245,0,2.28,2.79,4.25,6.04,2.96
4,6,7,1,0,1,0,7,1,5.86,0,5.86,6.25,6.47,5.22,5.2,5.35,-1.86,-2.25,-2.47,-1.22,-1.2,-1.35,,,,,,,,-2.1,-1.755,0,-2.72,-2.21,-0.75,6.04,-2.04
2,9,8,1,1,0,1,8,0,4.94,0,4.94,4.96,4.91,5.59,5.54,5.57,-2.94,-2.96,-2.91,-3.59,-3.54,-3.57,,,,,,,,-0.86,-3.59,1,-2.41,-3.22,-4.05,6.04,-4.04
4,6,7,1,0,1,0,7,1,5.86,0,5.86,6.25,6.47,5.22,5.2,5.35,-1.86,-2.25,-2.47,-1.22,-1.2,-1.35,,,,,,,,-2.1,-1.755,0,-2.72,-2.21,-0.75,6.04,-2.04
7,7,8,1,0,0,0,8,0,5.88,0,5.88,5.82,5.95,6.54,6.47,6.68,1.12,1.18,1.05,0.46,0.53,0.32,,,,,,,,0.9,0.3,0,0.28,0.79,0.95,6.04,0.96
8,2,9,1,0,0,0,9,0,8.72,0,8.72,7.97,8.55,6.54,6.47,6.68,-0.72,0.03,-0.55,1.46,1.53,1.32,,,,,,,,1.9,1.3,0,1.28,1.79,1.95,6.04,1.96
4,7,7,1,0,1,0,7,1,5.39,0,5.39,5.82,5.95,5.22,5.2,5.35,-1.39,-1.82,-1.95,-1.22,-1.2,-1.35,,,,,,,,-2.1,-1.755,0,-2.72,-2.21,-0.75,6.04,-2.04
6,6,9,1,0,0,0,9,0,6.84,0,6.84,6.25,6.47,6.54,6.47,6.68,-0.84,-0.25,-0.47,-0.54,-0.47,-0.68,,,,,,,,-0.1,-0.7,1,0.47,-0.21,-0.05,6.04,-0.04
8,4,8,1,0,0,0,8,0,7.29,0,7.29,7.11,7.51,6.54,6.47,6.68,0.71,0.89,0.49,1.46,1.53,1.32,,,,,,,,1.9,1.3,0,1.28,1.79,1.95,6.04,1.96
5,6,8,0,0,0,0,0,0,2.43,4.24,6.67,6.25,6.47,6.54,6.47,6.68,-1.67,-1.25,-1.47,-1.54,-1.47,-1.68,,,,,,,,-1.1,-1.7,0,-1.72,-1.21,-1.05,6.04,-1.04
6,5,8,0,0,0,0,0,0,2.9,4.24,7.14,6.68,6.99,6.54,6.47,6.68,-1.14,-0.68,-0.99,-0.54,-0.47,-0.68,,,,,,,,-0.1,-0.7,0,-0.72,-0.21,-0.05,6.04,-0.04
7,9,8,1,1,0,0,8,0,4.94,0,4.94,4.96,4.91,5.59,5.54,5.57,2.06,2.04,2.09,1.41,1.46,1.43,,,,,,,,0.9,1.41,0,1.4,1.78,0.95,6.04,0.96
8,8,8,1,1,0,0,8,0,5.41,0,5.41,5.39,5.43,5.59,5.54,5.57,2.59,2.61,2.57,2.41,2.46,2.43,,,,,,,,1.9,2.41,0,2.4,2.78,1.95,6.04,1.96
2,8,4,1,1,1,1,4,1,3.45,0,3.45,5.39,5.43,4.27,4.27,4.24,-1.45,-3.39,-3.43,-2.27,-2.27,-2.24,,,,,,,,-0.86,-2.645,1,-2.41,-3.22,-2.75,4.79,-2.79
9,5,8,1,0,0,0,8,0,6.82,0,6.82,6.68,6.99,6.54,6.47,6.68,2.18,2.32,2.01,2.46,2.53,2.32,,,,,,,,2.9,2.3,0,2.28,2.79,2.95,6.04,2.96
2,9,6,1,1,1,1,6,1,3.96,0,3.96,4.96,4.91,4.27,4.27,4.24,-1.96,-2.96,-2.91,-2.27,-2.27,-2.24,,,,,,,,-0.86,-2.645,1,-2.41,-3.22,-2.75,4.79,-2.79
9,9,9,1,1,0,0,9,0,5.43,0,5.43,4.96,4.91,5.59,5.54,5.57,3.57,4.04,4.09,3.41,3.46,3.43,,,,,,,,2.9,3.41,0,3.4,3.78,2.95,6.04,2.96
3,6,6,1,0,1,0,6,1,5.37,0,5.37,6.25,6.47,5.22,5.2,5.35,-2.37,-3.25,-3.47,-2.22,-2.2,-2.35,,,,,,,,-3.1,-2.755,1,-2.53,-3.21,-1.75,6.04,-3.04
6,7,7,1,0,1,0,7,1,5.39,0,5.39,5.82,5.95,5.22,5.2,5.35,0.61,0.18,0.05,0.78,0.8,0.65,,,,,,,,-0.1,0.245,0,-0.72,-0.21,1.25,6.04,-0.04
7,8,8,1,1,0,0,8,0,5.41,0,5.41,5.39,5.43,5.59,5.54,5.57,1.59,1.61,1.57,1.41,1.46,1.43,,,,,,,,0.9,1.41,0,1.4,1.78,0.95,6.04,0.96
3,7,6,1,0,1,0,6,1,4.9,0,4.9,5.82,5.95,5.22,5.2,5.35,-1.9,-2.82,-2.95,-2.22,-2.2,-2.35,,,,,,,,-3.1,-2.755,1,-2.53,-3.21,-1.75,6.04,-3.04
4,8,9,1,1,0,0,9,0,5.9,0,5.9,5.39,5.43,5.59,5.54,5.57,-1.9,-1.39,-1.43,-1.59,-1.54,-1.57,,,,,,,,-2.1,-1.59,0,-1.6,-1.22,-2.05,6.04,-2.04
3,9,9,1,1,0,0,9,0,5.43,0,5.43,4.96,4.91,5.59,5.54,5.57,-2.43,-1.96,-1.91,-2.59,-2.54,-2.57,,,,,,,,-3.1,-2.59,0,-2.6,-2.22,-3.05,6.04,-3.04
7,7,9,1,0,0,0,9,0,6.37,0,6.37,5.82,5.95,6.54,6.47,6.68,0.63,1.18,1.05,0.46,0.53,0.32,,,,,,,,0.9,0.3,0,0.28,0.79,0.95,6.04,0.96
